"date","away","home","doubleheader","name","team","position","mound","win","lose","draw","hld","sv","batter_num","pit","ab","h","hr","fourballs","k","r","er","id","inning","restinning"
"2010-04-17","롯데","두산",0,"허준혁","롯데","불펜투수","8.3",0,0,0,0,0,2,7,2,1,0,0,0,0,0,1151,0,1
"2010-04-20","기아","롯데",0,"허준혁","롯데","불펜투수","7.9",0,0,0,0,0,12,49,11,2,0,1,3,0,0,1151,3,0
"2010-04-23","롯데","SK",0,"허준혁","롯데","불펜투수","6.2",0,0,0,0,0,4,19,3,1,0,1,1,0,0,1151,0,2
"2010-04-25","롯데","SK",0,"허준혁","롯데","불펜투수","8.3",0,0,0,0,0,4,13,3,1,1,1,0,2,2,1151,0,2
"2010-04-30","기아","롯데",0,"허준혁","롯데","불펜투수","9.3",0,0,0,0,0,2,5,0,0,0,1,0,0,0,1151,0,1
"2010-05-01","기아","롯데",0,"허준혁","롯데","불펜투수","5.1",0,0,0,0,0,10,36,9,4,0,1,2,4,4,1151,1,2
"2010-05-02","기아","롯데",0,"허준혁","롯데","불펜투수","10.3",0,0,0,0,0,2,9,2,0,0,0,1,0,0,1151,0,2
"2010-05-05","롯데","삼성",0,"허준혁","롯데","불펜투수","3.2",0,0,0,0,0,4,15,4,2,0,0,0,0,0,1151,0,2
"2010-05-06","롯데","삼성",0,"허준혁","롯데","불펜투수","8.1",0,0,0,0,0,1,5,0,0,0,1,0,0,0,1151,0,0
"2010-05-07","두산","롯데",0,"허준혁","롯데","불펜투수","6.9",0,0,0,0,0,4,9,4,0,0,0,0,0,0,1151,1,1
"2010-05-09","두산","롯데",0,"허준혁","롯데","불펜투수","7.1",0,0,0,0,0,1,3,1,0,0,0,0,0,0,1151,0,2
"2010-05-11","SK","롯데",0,"허준혁","롯데","불펜투수","5.9",0,0,0,0,0,4,20,4,0,0,0,0,0,0,1151,1,1
"2010-05-14","롯데","LG",0,"허준혁","롯데","불펜투수","8.1",0,0,0,1,0,3,8,1,0,0,1,0,0,0,1151,0,1
