"date","away","home","doubleheader","name","team","position","mound","win","lose","draw","hld","sv","batter_num","pit","ab","h","hr","fourballs","k","r","er","id","inning","restinning"
"2010-05-27","SK","삼성",0,"이승호","SK","불펜투수","8.7",0,0,0,0,0,3,14,3,0,0,0,2,0,0,1192,1,0
"2010-05-28","롯데","SK",0,"이승호","SK","불펜투수","9.6",0,0,0,0,0,2,11,2,0,0,0,1,0,0,1192,1,0
"2010-06-01","한화","SK",0,"이승호","SK","선발투수","1.1",0,0,0,0,0,16,64,14,3,0,2,2,0,0,1192,4,0
"2010-06-06","SK","LG",0,"이승호","SK","선발투수","1.1",0,0,0,0,0,11,36,9,2,0,2,1,0,0,1192,2,2
"2010-06-08","삼성","SK",0,"이승호","SK","불펜투수","5.2",1,0,0,0,0,3,13,2,0,0,1,2,0,0,1192,0,2
"2010-06-09","삼성","SK",0,"이승호","SK","불펜투수","4.1",0,0,0,0,0,13,58,13,3,0,0,6,1,1,1192,3,1
"2010-06-13","SK","두산",0,"이승호","SK","불펜투수","5.3",0,0,0,0,0,9,35,7,0,0,2,1,0,0,1192,2,1
"2010-06-15","SK","넥센",0,"이승호","SK","불펜투수","6.5",0,0,0,1,0,3,16,2,1,0,1,0,0,0,1192,0,1
"2010-06-19","기아","SK",0,"이승호","SK","불펜투수","6.3",0,0,0,0,0,4,16,4,2,1,0,0,2,2,1192,0,2
"2010-06-23","LG","SK",0,"이승호","SK","불펜투수","6.8",0,0,0,0,0,2,9,2,1,1,0,1,1,1,1192,0,1
"2010-07-14","한화","SK",0,"이승호","SK","불펜투수","2.9",0,0,0,0,0,4,20,4,2,0,0,0,1,1,1192,1,0
"2010-07-15","한화","SK",0,"이승호","SK","불펜투수","5.3",0,0,0,0,0,4,13,4,1,1,0,1,1,1,1192,1,0
"2010-07-21","SK","넥센",0,"이승호","SK","불펜투수","8.8",0,0,0,0,0,3,11,3,0,0,0,2,0,0,1192,1,0
"2010-09-16","SK","LG",0,"이승호","SK","선발투수","1.1",0,0,0,0,0,18,85,15,2,0,3,6,0,0,1192,5,0
"2010-09-22","SK","두산",1,"이승호","SK","불펜투수","3.5",1,0,0,0,0,10,47,9,1,0,1,3,0,0,1192,2,2
"2010-09-24","LG","SK",0,"이승호","SK","불펜투수","2.6",0,0,0,0,0,16,61,14,5,0,2,2,3,1,1192,4,0
"2011-04-15","SK","넥센",0,"이승호","SK","불펜투수","2.1",1,0,0,0,0,13,60,13,0,0,0,2,0,0,1192,4,1
"2011-04-21","LG","SK",0,"이승호","SK","선발투수","1.1",1,0,0,0,0,22,93,18,1,1,3,5,1,1,1192,6,1
"2011-04-29","두산","SK",0,"이승호","SK","불펜투수","7.2",0,0,0,0,0,12,58,9,0,0,3,4,0,0,1192,3,0
"2011-05-05","SK","한화",0,"이승호","SK","불펜투수","5.2",1,0,0,0,0,20,81,16,2,0,4,5,1,1,1192,5,0
"2011-05-10","SK","삼성",0,"이승호","SK","선발투수","1.1",0,1,0,0,0,24,104,21,5,1,3,3,2,1,1192,5,0
"2011-05-15","SK","두산",0,"이승호","SK","선발투수","1.1",1,0,0,0,0,21,98,18,3,0,3,5,0,0,1192,5,0
"2011-06-14","롯데","SK",0,"이승호","SK","불펜투수","5.5",1,0,0,0,0,12,54,9,0,0,3,5,0,0,1192,3,0
"2011-06-18","SK","LG",0,"이승호","SK","불펜투수","5.3",0,0,0,0,0,2,7,2,1,0,0,0,2,2,1192,0,0
"2011-06-19","SK","LG",0,"이승호","SK","불펜투수","6.3",0,0,0,0,0,4,22,2,0,0,2,1,0,0,1192,0,2
"2011-06-28","한화","SK",0,"이승호","SK","불펜투수","5.1",0,0,0,0,0,1,3,0,0,0,1,0,1,1,1192,0,0
"2011-06-30","한화","SK",0,"이승호","SK","불펜투수","6.8",0,0,0,0,0,2,9,1,1,0,1,0,0,0,1192,0,0
"2011-07-17","한화","SK",0,"이승호","SK","불펜투수","8.3",0,0,0,0,0,3,9,3,0,0,0,1,0,0,1192,1,0
"2011-07-26","SK","롯데",0,"이승호","SK","불펜투수","4.7",1,0,0,0,0,9,36,8,1,0,1,1,0,0,1192,3,0
"2011-07-28","SK","롯데",0,"이승호","SK","불펜투수","6.6",0,0,0,0,0,1,4,1,0,0,0,0,0,0,1192,0,1
"2011-07-30","SK","한화",0,"이승호","SK","불펜투수","4.9",0,0,0,0,0,12,42,9,5,1,2,2,3,3,1192,1,2
"2011-08-03","LG","SK",0,"이승호","SK","불펜투수","2.1",0,0,0,0,0,16,63,15,2,0,0,3,0,0,1192,5,1
"2011-08-07","기아","SK",0,"이승호","SK","선발투수","1.1",0,1,0,0,0,13,53,10,4,0,2,2,4,4,1192,2,1
"2011-08-10","SK","두산",0,"이승호","SK","불펜투수","4.2",0,0,0,0,0,8,37,6,3,0,2,1,1,1,1192,1,0
"2011-09-01","LG","SK",0,"이승호","SK","선발투수","1.1",0,0,0,0,0,10,43,7,3,0,2,1,2,2,1192,1,2
"2011-09-07","SK","넥센",0,"이승호","SK","불펜투수","6.3",0,0,0,0,0,1,6,0,0,0,1,0,0,0,1192,0,0
"2011-09-09","롯데","SK",0,"이승호","SK","불펜투수","3.3",0,0,0,0,0,13,61,9,0,0,4,3,1,1,1192,3,2
"2011-09-13","넥센","SK",0,"이승호","SK","불펜투수","7.3",0,0,0,0,0,3,15,1,1,0,2,0,2,2,1192,0,0
"2011-09-17","한화","SK",0,"이승호","SK","선발투수","1.1",0,1,0,0,0,17,67,15,7,2,1,4,5,5,1192,3,0
"2011-09-24","SK","LG",0,"이승호","SK","불펜투수","3.1",0,0,0,0,0,7,30,7,1,0,0,1,0,0,1192,2,0
"2011-09-27","넥센","SK",0,"이승호","SK","선발투수","1.1",0,0,0,0,0,12,52,9,3,1,3,2,1,1,1192,2,1
"2011-10-01","삼성","SK",0,"이승호","SK","불펜투수","3.3",0,0,0,0,0,4,16,4,3,1,0,0,3,3,1192,0,1
