"date","away","home","doubleheader","name","team","one","two","three","four","five","six","seven","eight","nine","ten","eleven","twelve","ab","h","rbi","r","id"
"2010-03-27","LG","삼성",0,"이병규","LG",5004,0,0,2000,0,1011,0,0,7300,0,7101,0,4,1,1,0,750
"2010-03-28","LG","삼성",0,"이병규","LG",2000,0,7102,0,7102,0,0,7405,0,0,0,0,4,0,0,0,750
"2010-03-30","SK","LG",0,"이병규","LG",0,1011,0,7100,0,1017,0,0,3000,0,0,0,3,2,0,0,750
"2010-04-02","넥센","LG",0,"이병규","LG",1019,0,7101,0,7004,0,0,1118,3000,0,0,0,4,2,0,2,750
"2010-04-03","넥센","LG",0,"이병규","LG",1011,0,2000,0,7201,0,7005,0,0,1011,0,0,5,2,1,1,750
"2010-04-04","넥센","LG",0,"이병규","LG",0,7007,0,7005,0,0,7101,0,7104,0,0,0,4,0,0,0,750
"2010-04-06","LG","롯데",0,"이병규","LG",0,7402,0,7006,0,7104,0,2000,0,0,0,0,4,0,0,0,750
"2010-04-07","LG","롯데",0,"이병규","LG",0,7407,0,2000,0,0,7100,0,0,0,0,0,3,0,0,0,750
"2010-04-08","LG","롯데",0,"이병규","LG",7101,0,0,1300,0,1003,3000,7005,0,0,0,0,4,2,1,2,750
"2010-04-09","LG","두산",0,"이병규","LG",1301,0,2000,0,7107,0,7107,0,0,2000,0,0,5,1,2,1,750
"2010-04-10","LG","두산",0,"이병규","LG",1019,0,7104,0,2000,0,3200,0,2000,0,0,0,4,1,0,1,750
"2010-04-11","LG","두산",0,"이병규","LG",0,7100,7003,0,1008,0,7005,0,1022,0,0,0,5,2,0,0,750
"2010-04-13","삼성","LG",0,"이병규","LG",3000,0,0,7006,0,7003,0,0,1017,0,0,0,3,1,0,0,750
"2010-04-14","삼성","LG",0,"이병규","LG",7005,0,7214,0,7003,0,0,7107,0,0,0,0,4,0,0,0,750
"2010-04-15","삼성","LG",0,"이병규","LG",0,7300,0,7101,0,7107,0,7101,0,0,0,0,4,0,0,1,750
"2010-04-16","LG","기아",0,"이병규","LG",7304,0,0,7101,2000,0,0,1011,1003,0,0,0,5,2,0,1,750
"2010-04-17","LG","기아",0,"이병규","LG",7005,0,7101,0,7104,0,7100,6007,0,0,0,0,5,0,0,1,750
"2010-04-20","LG","넥센",0,"이병규","LG",0,3000,7102,0,7003,0,7003,0,0,0,0,0,3,0,0,1,750
"2010-04-22","LG","넥센",0,"이병규","LG",2000,0,1019,0,6000,7003,0,0,7104,0,0,0,5,1,0,1,750
"2010-04-23","한화","LG",0,"이병규","LG",7006,0,0,7104,0,7304,0,0,0,0,0,0,3,0,0,0,750
"2010-04-24","한화","LG",0,"이병규","LG",7005,0,7100,0,1017,1117,0,0,0,0,0,0,4,2,1,2,750
"2010-04-25","한화","LG",0,"이병규","LG",7005,0,7107,0,0,7107,0,1017,0,0,0,0,4,1,0,0,750
"2010-04-29","삼성","LG",0,"이병규","LG",2000,0,0,7005,3000,0,6001,0,0,0,0,0,3,0,0,0,750
"2010-04-30","LG","SK",0,"이병규","LG",1011,0,7005,0,7101,0,0,1019,3000,0,0,0,4,2,0,1,750
"2010-05-01","LG","SK",0,"이병규","LG",7107,0,0,1301,0,0,2000,0,0,0,0,0,3,1,1,1,750
"2010-05-02","LG","SK",0,"이병규","LG",7101,0,0,2000,0,0,0,0,0,0,0,0,2,0,0,0,750
"2010-05-04","두산","LG",0,"이병규","LG",0,1003,2000,2000,0,0,7003,0,0,0,0,0,4,1,0,1,750
"2010-05-05","두산","LG",0,"이병규","LG",0,0,0,0,0,0,0,0,7205,0,0,0,1,0,0,0,750
"2010-05-06","두산","LG",0,"이병규","LG",0,0,0,0,0,0,0,0,7100,0,0,0,1,0,0,0,750
"2010-05-07","기아","LG",0,"이병규","LG",0,0,0,0,0,0,0,0,7003,0,0,0,1,0,0,0,750
"2010-05-08","기아","LG",0,"이병규","LG",0,0,0,0,0,0,0,0,2000,0,0,0,1,0,0,0,750
"2010-05-09","기아","LG",0,"이병규","LG",0,0,0,0,0,0,0,2000,0,0,0,0,1,0,0,0,750
"2010-05-11","LG","한화",0,"이병규","LG",0,0,0,0,0,0,0,0,2000,0,0,0,1,0,0,0,750
"2010-05-12","LG","한화",0,"이병규","LG",7104,0,7005,0,1304,0,2000,0,1019,0,0,0,5,2,3,1,750
"2010-05-13","LG","한화",0,"이병규","LG",0,2000,0,1302,2000,0,3000,0,7100,0,0,0,4,1,1,1,750
"2010-05-14","롯데","LG",0,"이병규","LG",0,7104,0,7104,0,0,2000,0,0,0,0,0,3,0,0,0,750
"2010-05-15","롯데","LG",0,"이병규","LG",0,3000,0,0,1017,0,1019,0,7104,0,0,0,3,2,0,0,750
"2010-05-16","롯데","LG",0,"이병규","LG",7003,0,1012,7100,0,1202,7101,0,0,0,0,0,5,2,2,2,750
"2010-05-19","LG","삼성",0,"이병규","LG",1011,0,7002,1017,0,1304,0,7004,0,0,0,0,5,3,2,1,750
"2010-05-20","LG","삼성",0,"이병규","LG",7104,5004,0,7005,0,1019,0,1110,0,0,0,0,4,2,1,0,750
"2010-05-21","LG","두산",0,"이병규","LG",1012,0,7102,0,0,2000,0,0,1011,0,0,0,4,2,1,0,750
"2010-05-22","LG","두산",0,"이병규","LG",6002,0,7101,0,7219,0,7006,0,0,0,0,0,4,0,0,0,750
"2010-05-23","LG","두산",0,"이병규","LG",1019,0,1019,7003,0,7004,0,0,1017,0,0,0,5,3,0,2,750
"2010-05-25","기아","LG",0,"이병규","LG",1019,0,7005,0,7005,0,7100,0,0,0,0,0,4,1,0,0,750
"2010-05-26","기아","LG",0,"이병규","LG",30007101,0,7006,0,1012,0,0,0,0,0,0,0,3,1,0,1,750
"2010-05-27","기아","LG",0,"이병규","LG",3000,0,0,1017,7101,0,7206,0,1017,0,0,0,4,2,1,0,750
"2010-05-28","LG","넥센",0,"이병규","LG",0,7005,5004,0,0,7005,1013,0,7107,0,0,0,4,1,1,1,750
"2010-05-29","LG","넥센",0,"이병규","LG",7101,0,7006,0,1019,7101,0,0,7101,0,3200,0,5,1,0,1,750
"2010-05-30","LG","넥센",0,"이병규","LG",0,7101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,750
"2010-06-01","LG","롯데",0,"이병규","LG",1017,0,0,3000,0,2000,7102,0,2000,0,0,0,4,1,0,0,750
"2010-06-02","LG","롯데",0,"이병규","LG",7101,0,1012,0,7005,1019,0,0,3000,0,0,0,4,2,4,1,750
"2010-06-03","LG","롯데",0,"이병규","LG",3000,0,0,2000,0,0,0,0,0,0,0,0,1,0,0,0,750
"2010-06-04","SK","LG",0,"이병규","LG",0,1019,0,7104,0,0,7100,0,3000,0,0,0,3,1,0,0,750
"2010-06-05","SK","LG",0,"이병규","LG",2000,0,0,1017,0,7005,0,2100,0,0,0,0,4,1,0,0,750
"2010-06-06","SK","LG",0,"이병규","LG",3000,0,0,1019,0,7006,3200,0,0,7005,0,3200,3,1,0,1,750
"2010-06-08","한화","LG",0,"이병규","LG",0,1013,0,1118,2000,0,0,0,0,0,0,0,3,2,1,0,750
"2010-06-09","한화","LG",0,"이병규","LG",7104,0,7101,0,0,7205,0,7005,0,0,0,0,4,0,0,0,750
"2010-06-11","LG","기아",0,"이병규","LG",0,0,0,0,0,0,0,0,7006,0,0,0,1,0,0,0,750
"2010-06-12","LG","기아",0,"이병규","LG",0,0,0,0,0,0,1010,0,1019,0,0,0,2,2,3,0,750
"2010-06-13","LG","기아",0,"이병규","LG",7006,0,0,7107,0,7212,0,7107,0,0,0,0,4,0,0,0,750
"2010-06-15","두산","LG",0,"이병규","LG",1019,7101,3000,0,1012,0,2000,0,0,0,0,0,4,2,0,1,750
"2010-06-16","두산","LG",0,"이병규","LG",4102,0,7006,0,1017,0,7102,0,1011,0,0,0,4,2,0,1,750
"2010-06-17","두산","LG",0,"이병규","LG",2000,0,7100,0,2000,0,7101,0,0,0,0,0,4,0,0,0,750
"2010-06-18","롯데","LG",0,"이병규","LG",7402,0,7101,0,1011,3000,0,7104,0,0,0,0,4,1,0,1,750
"2010-06-19","롯데","LG",0,"이병규","LG",7100,0,3000,0,1011,2000,0,0,0,0,0,0,3,1,0,1,750
"2010-06-20","롯데","LG",0,"이병규","LG",3000,0,1019,0,1017,0,1116,0,1017,0,0,0,4,4,2,1,750
"2010-06-22","LG","SK",0,"이병규","LG",0,6001,0,1017,0,1017,0,0,0,0,0,0,3,2,0,0,750
"2010-06-23","LG","SK",0,"이병규","LG",2000,0,0,3000,0,7006,3100,7003,0,0,0,0,3,0,0,1,750
"2010-06-24","LG","SK",0,"이병규","LG",0,7104,0,0,3000,0,7104,0,0,0,0,0,2,0,0,0,750
"2010-06-25","LG","한화",0,"이병규","LG",1019,2000,0,1019,1019,0,0,7104,1011,0,0,0,6,4,5,1,750
"2010-06-26","LG","한화",0,"이병규","LG",1011,0,7304,0,7301,0,1011,0,7101,0,0,0,5,2,2,0,750
