"date","away","home","doubleheader","name","team","position","mound","win","lose","draw","hld","sv","batter_num","pit","ab","h","hr","fourballs","k","r","er","id","inning","restinning"
"2010-03-27","한화","SK",0,"이승호","SK","불펜투수","9.7",0,0,0,0,1,4,18,4,1,0,0,2,0,0,776,1,0
"2010-03-28","한화","SK",0,"이승호","SK","불펜투수","8.9",0,0,0,0,1,8,38,7,1,0,1,2,0,0,776,2,0
"2010-03-30","SK","LG",0,"이승호","SK","불펜투수","9.3",0,0,0,0,1,4,23,3,0,0,1,0,0,0,776,1,0
"2010-04-03","두산","SK",0,"이승호","SK","불펜투수","9.6",0,0,0,0,0,3,8,3,3,0,0,0,3,3,776,0,0
"2010-04-07","기아","SK",0,"이승호","SK","불펜투수","8.1",0,0,0,0,0,6,27,4,0,0,2,2,0,0,776,1,1
"2010-04-08","기아","SK",0,"이승호","SK","불펜투수","9.5",0,0,0,0,0,2,10,2,0,0,0,1,0,0,776,0,2
"2010-04-09","SK","넥센",0,"이승호","SK","불펜투수","8.3",0,0,0,0,1,6,22,6,2,0,0,2,1,0,776,1,1
"2010-04-14","SK","한화",0,"이승호","SK","불펜투수","8.4",0,0,0,0,1,6,33,6,0,0,0,5,0,0,776,2,0
"2010-04-17","삼성","SK",0,"이승호","SK","불펜투수","8.7",0,0,0,0,1,6,20,6,0,0,0,2,0,0,776,2,0
"2010-04-20","SK","두산",0,"이승호","SK","불펜투수","8.3",0,0,0,0,1,4,11,4,0,0,0,1,0,0,776,1,1
"2010-04-22","SK","두산",0,"이승호","SK","불펜투수","9.8",0,0,0,0,1,5,23,4,1,0,1,1,0,0,776,1,0
"2010-04-23","롯데","SK",0,"이승호","SK","불펜투수","9.7",0,0,0,0,1,3,11,3,0,0,0,2,0,0,776,1,0
"2010-04-25","롯데","SK",0,"이승호","SK","불펜투수","8.3",0,0,0,0,0,3,17,2,0,0,1,2,0,0,776,0,2
"2010-04-27","SK","기아",0,"이승호","SK","불펜투수","8.6",0,0,0,0,1,6,26,5,0,0,1,1,0,0,776,1,2
"2010-04-29","SK","기아",0,"이승호","SK","불펜투수","8.3",0,0,0,0,1,7,36,6,1,0,1,2,0,0,776,1,1
"2010-05-02","LG","SK",0,"이승호","SK","불펜투수","9.2",1,0,0,0,0,5,22,3,1,0,1,0,1,1,776,1,0
"2010-05-04","넥센","SK",0,"이승호","SK","불펜투수","8.4",0,0,0,0,1,5,17,5,1,0,0,2,0,0,776,1,1
"2010-05-08","SK","삼성",0,"이승호","SK","불펜투수","7.4",0,0,0,0,0,10,38,8,1,0,2,0,0,0,776,2,1
"2010-05-11","SK","롯데",0,"이승호","SK","불펜투수","8.2",0,0,0,0,0,4,20,4,1,0,0,0,0,0,776,1,0
"2010-05-12","SK","롯데",0,"이승호","SK","불펜투수","9.8",1,0,0,0,0,16,59,11,1,0,4,2,0,0,776,4,0
"2010-05-16","두산","SK",0,"이승호","SK","불펜투수","8.7",0,0,0,0,1,5,27,5,1,0,0,1,0,0,776,1,2
"2010-05-20","넥센","SK",0,"이승호","SK","불펜투수","8.3",0,0,0,0,0,6,19,6,2,1,0,1,1,1,776,1,1
"2010-05-26","SK","삼성",0,"이승호","SK","불펜투수","8.4",0,0,0,0,0,3,17,2,0,0,1,2,0,0,776,0,2
"2010-05-28","롯데","SK",0,"이승호","SK","불펜투수","7.8",0,0,0,0,0,5,18,5,1,0,0,2,0,0,776,1,1
