,Length,Mean,Std
BETA,7,6.525483057966956,4.775701327602413
BETA,8,6.968843014882381,5.16902996866243
BETA,9,7.2792079207920795,5.503452619197011
BETA,10,7.782596519303862,5.78619851008203
BETA,11,8.15929592959296,6.121061581443437
BETA,12,8.427772443590975,6.2778691510224025
BETA,13,8.776879063719113,6.5687599411782625
BETA,14,9.14516942033044,6.807328898731753
BETA,15,9.486288628862885,7.206265054985556
BETA,16,9.812419974391805,7.3352384299968
BETA,17,10.099285714285713,7.611635125629333
BETA,18,10.384047533309326,7.783083307923607
BETA,19,10.69901178259217,8.2048515241361
BETA,20,10.80140056022409,8.445751495666109
BETA,21,11.068781512605042,8.501862634928163
BETA,22,11.359595070422536,8.701089933635622
BETA,23,11.53382420616659,8.814118801871006
BETA,24,11.945895343254922,9.153276656490656
BETA,25,12.342671335667834,9.395852068097739
BETA,26,12.387825182101977,9.29938500392518
BETA,27,12.657698541329012,9.844643509665923
BETA,28,13.02235294117647,10.089309263296796
BETA,29,13.032443412652349,9.997588693993826
BETA,30,13.545678271308523,10.282928949537897
