,Length,Cut,Mean,Std
GAMMA,7,3,6.570372444693363,4.835332870297306
GAMMA,7,4,6.581685802296275,4.822366395923317
GAMMA,8,3,6.959049447911667,5.165976354036647
GAMMA,8,4,6.924707953272524,5.098340093225965
GAMMA,8,5,6.924579932789245,5.134848331777116
GAMMA,9,3,7.372889288928893,5.497028034726196
GAMMA,9,4,7.272331233123311,5.422285867998755
GAMMA,9,5,7.376885688568858,5.4252095509668
GAMMA,9,6,7.487740774077408,5.446320571467067
GAMMA,10,3,7.844848969793959,5.87483716493805
GAMMA,10,4,7.729105821164233,5.800539653571782
GAMMA,10,5,7.689857971594317,5.699431187671676
GAMMA,10,6,7.638927785557112,5.724318867418664
GAMMA,10,7,7.737467493498699,5.750531470232257
GAMMA,11,3,8.173597359735973,6.034223475774874
GAMMA,11,4,8.146446644664465,5.994367086574308
GAMMA,11,5,8.106094609460946,6.070446745653825
GAMMA,11,6,8.100286028602861,6.138421078708252
GAMMA,11,7,8.033663366336633,5.963485692717795
GAMMA,11,8,8.157271727172716,5.946080092306034
GAMMA,12,4,8.54375900144023,6.355810386431923
GAMMA,12,5,8.551104176668268,6.435123068785447
GAMMA,12,6,8.459985597695631,6.46379182837448
GAMMA,12,7,8.430844935189631,6.394552305679356
GAMMA,12,8,8.50400864138262,6.3618583175017065
GAMMA,13,4,8.878881664499351,6.683966125785805
GAMMA,13,5,8.935058517555268,6.506301718925585
GAMMA,13,6,8.865773732119635,6.697862474143147
GAMMA,13,7,8.746918075422625,6.54183726830956
GAMMA,13,8,8.850793237971391,6.646402863374215
GAMMA,13,9,8.847568270481144,6.643804465801163
GAMMA,14,5,9.260655278633436,6.901764636763094
GAMMA,14,6,9.04206104732568,6.832055468043558
GAMMA,14,7,9.021506580789694,6.772144841627164
GAMMA,14,8,8.965667880145618,6.6670644377248705
GAMMA,14,9,9.11862223466816,6.689808672809704
GAMMA,15,5,9.434863486348636,7.078595857286738
GAMMA,15,6,9.366096609660966,7.079990628651827
GAMMA,15,7,9.276447644764477,7.092991709791695
GAMMA,15,8,9.367416741674168,7.150695887996637
GAMMA,15,9,9.496549654965497,7.042640909162356
GAMMA,15,10,9.535013501350136,7.104083331247985
GAMMA,16,6,9.67650448143406,7.291597856782664
GAMMA,16,7,9.851792573623559,7.103600914635723
GAMMA,16,8,9.753649167733675,7.350801266338141
GAMMA,16,9,9.845902688860436,7.3584486260754725
GAMMA,16,10,9.90473751600512,7.435036831810931
GAMMA,17,5,10.260714285714286,7.6349984630392855
GAMMA,17,6,10.126700680272108,7.624648848758236
GAMMA,17,7,10.036020408163264,7.649229996345938
GAMMA,17,8,10.023163265306124,7.496311850123154
GAMMA,17,9,10.033775510204082,7.617149825217331
GAMMA,17,10,9.797448979591836,7.425145521085878
GAMMA,17,11,9.878945578231292,7.512864403225707
GAMMA,17,12,10.110986394557823,7.619263876531843
GAMMA,18,6,10.596074900972273,7.877586278821317
GAMMA,18,7,10.344508462369463,7.881365110686133
GAMMA,18,8,10.475369103348937,7.735544215451647
GAMMA,18,9,10.542635938062658,7.596378984648275
GAMMA,18,10,10.439287000360101,7.7354801729922205
GAMMA,18,11,10.417176809506662,7.909033381289684
GAMMA,18,12,10.200828231904932,7.957704363110542
GAMMA,19,6,10.676434815659446,7.994713641051909
GAMMA,19,7,10.570315469403269,8.012769921100869
GAMMA,19,8,10.553819840364879,7.775280223772803
GAMMA,19,9,10.528354237932344,7.760941805087674
GAMMA,19,10,10.503496769289246,7.803943292470495
GAMMA,19,11,10.435917901938428,7.876698884235085
GAMMA,19,12,10.62702394526796,7.908471769609316
GAMMA,19,13,10.73177499049791,7.795256859051634
GAMMA,20,7,10.977791116446578,8.235329211493234
GAMMA,20,8,11.033253301320528,8.260667897567949
GAMMA,20,9,10.845418167266905,8.225740522169497
GAMMA,20,10,10.756022408963586,8.226383658712871
GAMMA,20,11,10.9328131252501,8.012677762862074
GAMMA,20,12,10.939935974389757,8.158580681184377
GAMMA,20,13,11.188835534213686,8.308834701581269
GAMMA,21,7,11.095084033613444,8.44783281052715
GAMMA,21,8,11.02718487394958,8.2611094321438
GAMMA,21,9,11.147773109243698,8.31029275231582
GAMMA,21,10,11.208361344537813,8.334484997403926
GAMMA,21,11,11.139621848739495,8.411373693994747
GAMMA,21,12,10.907436974789915,8.34201773058871
GAMMA,21,13,10.735336134453782,8.237035605075562
GAMMA,21,14,11.082563025210083,8.381884386453713
GAMMA,22,8,11.511091549295775,8.63012759637115
