"date","away","home","doubleheader","name","team","position","mound","win","lose","draw","hld","sv","batter_num","pit","ab","h","hr","fourballs","k","r","er","id","inning","restinning"
"2010-03-28","넥센","롯데",0,"허준혁","롯데","불펜투수","6.8",0,0,0,0,0,3,12,3,2,1,0,0,1,1,1150,0,2
"2010-03-30","롯데","한화",0,"허준혁","롯데","불펜투수","6.4",0,0,0,0,0,2,5,2,0,0,0,0,0,0,1150,0,1
"2010-04-03","롯데","기아",0,"허준혁","롯데","불펜투수","7.3",0,0,0,0,0,2,9,2,0,0,0,1,0,0,1150,1,0
"2010-04-04","롯데","기아",0,"허준혁","롯데","불펜투수","12.2",0,0,0,0,1,3,16,3,0,0,0,0,0,0,1150,1,0
"2010-04-09","한화","롯데",0,"허준혁","롯데","불펜투수","7.8",0,0,0,0,0,9,32,7,4,0,1,1,3,3,1150,1,2
"2010-04-13","롯데","넥센",0,"허준혁","롯데","불펜투수","9.3",0,0,0,0,0,5,23,3,0,0,2,1,0,0,1150,1,0
"2010-04-17","롯데","두산",0,"허준혁","롯데","불펜투수","7.8",0,0,0,0,0,4,22,4,0,0,0,2,0,0,1150,1,1
"2010-04-21","기아","롯데",0,"허준혁","롯데","불펜투수","8.6",0,0,0,0,0,3,10,2,1,0,0,0,0,0,1150,0,2
"2010-04-23","롯데","SK",0,"허준혁","롯데","불펜투수","5.6",0,0,0,0,0,5,21,4,2,0,0,0,1,1,1150,1,1
"2010-04-27","넥센","롯데",0,"허준혁","롯데","불펜투수","9.4",0,0,0,0,0,6,25,5,1,0,1,1,0,0,1150,1,0
"2010-04-30","기아","롯데",0,"허준혁","롯데","불펜투수","9.5",0,0,0,0,0,2,4,2,1,0,0,0,0,0,1150,0,1
"2010-05-01","기아","롯데",0,"허준혁","롯데","불펜투수","6.2",0,0,0,0,0,11,31,10,5,0,1,0,2,2,1150,2,1
"2010-06-22","한화","롯데",0,"허준혁","롯데","불펜투수","9.6",0,0,0,0,0,4,14,4,0,0,0,1,0,0,1150,1,2
"2010-06-24","한화","롯데",0,"허준혁","롯데","불펜투수","9.8",0,0,0,0,0,6,22,5,3,0,1,0,1,1,1150,0,2
"2010-07-03","롯데","LG",0,"허준혁","롯데","불펜투수","6.5",0,0,0,0,0,5,17,5,3,0,0,1,2,2,1150,0,2
"2010-07-08","넥센","롯데",0,"허준혁","롯데","불펜투수","9.2",0,0,0,0,0,5,16,5,2,1,0,1,2,2,1150,1,0
"2010-07-10","SK","롯데",0,"허준혁","롯데","불펜투수","9.1",0,0,0,0,0,4,13,2,1,0,1,0,1,0,1150,0,1
"2010-07-14","롯데","넥센",0,"허준혁","롯데","불펜투수","12.8",0,0,1,0,0,4,16,4,1,0,0,2,0,0,1150,1,0
"2010-07-15","롯데","넥센",0,"허준혁","롯데","불펜투수","3.1",0,1,0,0,0,13,30,11,3,0,1,3,3,3,1150,3,0
"2011-04-15","롯데","LG",0,"허준혁","롯데","불펜투수","7.2",0,0,0,0,0,13,41,10,4,0,3,1,4,4,1150,2,0
"2011-04-20","롯데","한화",0,"허준혁","롯데","불펜투수","2.3",0,0,0,0,0,21,84,20,1,0,0,3,0,0,1150,6,2
"2011-04-24","SK","롯데",0,"허준혁","롯데","불펜투수","9.4",0,0,0,0,0,2,11,2,0,0,0,1,0,0,1150,0,2
"2011-04-27","LG","롯데",0,"허준혁","롯데","불펜투수","5.8",0,0,0,0,0,9,34,7,2,1,2,1,2,2,1150,1,2
"2011-05-05","삼성","롯데",0,"허준혁","롯데","불펜투수","9.7",0,0,0,0,0,6,25,4,3,0,2,0,3,3,1150,0,1
"2011-06-15","롯데","SK",0,"허준혁","롯데","불펜투수","8.6",0,0,0,0,0,2,7,2,0,0,0,0,0,0,1150,0,2
"2011-06-17","롯데","넥센",0,"허준혁","롯데","불펜투수","8.8",0,0,0,0,0,3,14,3,0,0,0,0,0,0,1150,1,0
"2011-06-18","롯데","넥센",0,"허준혁","롯데","불펜투수","8.9",0,0,0,0,0,4,17,4,1,0,0,1,0,0,1150,1,0
"2011-06-23","두산","롯데",0,"허준혁","롯데","불펜투수","9.3",0,0,0,0,0,3,6,3,0,0,0,0,0,0,1150,1,0
"2011-06-29","기아","롯데",0,"허준혁","롯데","불펜투수","8.6",0,0,0,0,0,4,12,4,1,0,0,0,0,0,1150,1,0
"2011-07-08","롯데","SK",0,"허준혁","롯데","불펜투수","8.9",0,0,0,0,0,3,11,3,0,0,0,1,0,0,1150,1,0
"2011-07-15","LG","롯데",0,"허준혁","롯데","불펜투수","9.1",0,0,0,0,0,1,3,1,0,0,0,0,0,0,1150,0,1
"2011-07-17","LG","롯데",0,"허준혁","롯데","불펜투수","8.2",0,0,0,0,0,8,35,3,1,0,4,0,1,1,1150,1,1
