"date","away","home","doubleheader","name","team","position","mound","win","lose","draw","hld","sv","batter_num","pit","ab","h","hr","fourballs","k","r","er","id","inning","restinning"
"2012-06-23","롯데","LG",0,"허준혁","롯데","불펜투수","8.5",0,0,0,0,0,3,13,3,0,0,0,1,0,0,1150,1,0
"2012-07-26","롯데","한화",0,"허준혁","롯데","불펜투수","9.8",0,0,0,0,0,2,8,2,1,0,0,1,0,0,1150,0,1
"2012-08-01","기아","롯데",0,"허준혁","롯데","불펜투수","5.4",0,0,0,0,0,10,36,9,1,0,1,0,0,0,1150,2,2
"2012-08-04","삼성","롯데",0,"허준혁","롯데","불펜투수","9.1",0,0,0,0,0,1,2,1,0,0,0,0,0,0,1150,0,2
"2012-10-06","롯데","SK",0,"허준혁","롯데","선발투수","1.1",0,0,0,0,0,11,46,10,2,0,1,0,0,0,1150,3,0
"2013-05-03","삼성","롯데",0,"허준혁","롯데","불펜투수","7.8",0,0,0,0,0,6,23,5,2,0,1,1,0,0,1150,1,1
"2013-06-06","기아","롯데",0,"허준혁","롯데","불펜투수","9.7",0,0,0,0,0,3,8,3,0,0,0,1,0,0,1150,1,0
"2013-06-07","롯데","LG",0,"허준혁","롯데","불펜투수","4.6",0,0,0,0,0,12,46,11,2,0,1,2,0,0,1150,3,2
"2013-06-15","한화","롯데",0,"허준혁","롯데","불펜투수","8.6",0,0,0,0,0,6,22,4,0,0,1,1,0,0,1150,1,2
"2013-06-19","롯데","두산",0,"허준혁","롯데","불펜투수","9.2",0,0,0,0,0,4,23,3,0,0,1,2,0,0,1150,1,0
"2013-07-14","롯데","NC",0,"허준혁","롯데","불펜투수","6.7",0,0,0,0,0,11,50,9,1,0,2,3,0,0,1150,3,0
"2013-07-17","LG","롯데",0,"허준혁","롯데","불펜투수","8.8",0,0,0,0,0,2,7,2,0,0,0,1,0,0,1150,0,2
"2013-07-26","SK","롯데",0,"허준혁","롯데","선발투수","1.1",0,1,0,0,0,18,66,14,6,1,4,1,6,6,1150,3,0
"2013-08-10","롯데","SK",0,"허준혁","롯데","불펜투수","8.7",0,0,0,0,0,4,17,4,1,0,0,1,0,0,1150,1,0
"2013-08-14","롯데","두산",0,"허준혁","롯데","불펜투수","8.8",0,0,0,0,0,1,5,0,0,0,1,0,1,1,1150,0,0
"2013-10-02","삼성","롯데",0,"허준혁","롯데","불펜투수","8.7",0,0,0,0,0,6,16,5,2,0,1,0,2,2,1150,1,1
"2014-05-05","롯데","SK",0,"허준혁","롯데","불펜투수","8.6",0,0,0,0,0,4,15,1,0,0,1,0,1,1,1150,1,0
"2014-05-06","두산","롯데",0,"허준혁","롯데","불펜투수","3.8",0,0,0,0,0,8,27,7,3,0,1,1,2,1,1150,1,0
"2015-04-28","롯데","넥센",0,"허준혁","롯데","불펜투수","7.7",0,0,0,0,0,4,9,4,0,0,0,0,0,0,1150,1,1
"2015-05-23","LG","롯데",0,"허준혁","롯데","불펜투수","8.5",0,0,0,0,0,3,9,3,3,0,0,0,3,3,1150,0,0
"2015-05-26","롯데","SK",0,"허준혁","롯데","불펜투수","8.5",0,0,0,0,0,5,11,5,3,0,0,0,2,1,1150,0,1
